iter	Passed	Remaining
0	162	162777
1	165	82438
2	168	56051
3	171	42636
4	173	34481
5	175	29044
6	177	25149
7	179	22274
8	182	20082
9	184	18251
10	186	16763
11	189	15562
12	191	14516
13	193	13627
14	196	12924
15	198	12228
16	200	11608
17	202	11057
18	204	10570
19	208	10208
20	211	9842
21	213	9497
22	216	9186
23	218	8904
24	222	8677
25	225	8434
26	227	8185
27	229	7962
28	231	7751
29	233	7561
30	237	7408
31	240	7277
32	243	7122
33	245	6964
34	247	6819
35	249	6677
36	252	6581
37	255	6472
38	257	6349
39	259	6234
40	262	6133
41	264	6035
42	267	5955
43	269	5861
44	272	5787
45	276	5727
46	279	5662
47	281	5592
48	284	5513
49	286	5434
50	288	5359
51	290	5290
52	293	5247
53	296	5190
54	299	5145
55	301	5088
56	304	5033
57	307	4992
58	310	4945
59	312	4893
60	314	4842
61	317	4798
62	320	4770
63	325	4764
64	329	4736
65	332	4699
66	334	4654
67	341	4675
68	344	4642
69	347	4610
70	352	4617
71	355	4583
72	362	4597
73	369	4626
74	373	4606
75	380	4627
76	416	4991
77	420	4975
78	431	5033
79	434	4996
80	438	4978
81	443	4962
82	449	4971
83	452	4936
84	457	4930
85	462	4911
86	464	4878
87	468	4854
88	472	4834
89	475	4803
90	477	4771
91	479	4736
92	489	4775
93	499	4815
94	502	4787
95	505	4759
96	508	4730
97	518	4768
98	521	4748
99	524	4718
100	526	4689
101	531	4678
102	537	4679
103	541	4663
104	547	4668
105	550	4641
106	553	4617
107	555	4589
108	567	4641
109	570	4618
110	575	4608
111	577	4580
112	579	4551
113	582	4524
114	587	4519
115	593	4519
116	595	4495
117	598	4470
118	600	4446
119	603	4424
120	606	4408
121	608	4378
122	610	4352
123	612	4326
124	614	4301
125	616	4277
126	620	4262
127	622	4239
128	625	4220
129	627	4196
130	629	4173
131	631	4149
132	635	4139
133	637	4120
134	639	4098
135	641	4077
136	643	4054
137	645	4032
138	649	4022
139	652	4008
140	655	3993
141	656	3969
142	659	3950
143	661	3930
144	664	3920
145	667	3904
146	669	3885
147	671	3867
148	674	3849
149	676	3833
150	680	3825
151	683	3810
152	685	3794
153	687	3776
154	689	3759
155	691	3742
156	695	3733
157	697	3718
158	699	3700
159	701	3683
160	702	3662
161	704	3646
162	707	3631
163	710	3620
164	712	3604
165	714	3590
166	717	3576
167	719	3561
168	723	3557
169	725	3544
170	727	3528
171	729	3513
172	731	3498
173	734	3484
174	736	3471
175	739	3460
176	741	3446
177	743	3434
178	745	3420
179	748	3408
180	750	3395
181	754	3389
182	756	3376
183	758	3363
184	760	3350
185	762	3338
186	766	3333
187	769	3322
188	771	3312
189	773	3299
190	776	3288
191	778	3275
192	780	3262
193	784	3257
194	786	3245
195	788	3233
196	790	3223
197	793	3214
198	799	3218
199	802	3210
200	804	3199
201	807	3188
202	809	3178
203	812	3172
